Hon Anthony Albanese: Member for Grayndler, New South Wales
Mr John Alexander OAM: Member for Bennelong, New South Wales
Dr Anne Aly: Member for Cowan, Western Australia
Hon Karen Andrews: Member for McPherson, Queensland
Hon Kevin Andrews: Member for Menzies, Victoria
Mr Adam Bandt: Member for Melbourne, Victoria
Ms Julia Banks: Member for Chisholm, Victoria
Hon Sharon Bird: Member for Cunningham, New South Wales
Hon Chris Bowen: Member for McMahon, New South Wales
Mr Russell Broadbent: Member for McMillan, Victoria
Hon Scott Buchholz: Member for Wright, Queensland
Hon Tony Burke: Member for Watson, New South Wales
Hon Linda Burney: Member for Barton, New South Wales
Hon Mark Butler: Member for Port Adelaide, South Australia
Ms Terri Butler: Member for Griffith, Queensland
Hon Anthony Byrne: Member for Holt, Victoria
Dr Jim Chalmers: Member for Rankin, Queensland
Mr Nick Champion: Member for Wakefield, South Australia
Hon Darren Chester: Member for Gippsland, Victoria
Ms Lisa Chesters: Member for Bendigo, Victoria
Mr George Christensen: Member for Dawson, Queensland
Hon Jason Clare: Member for Blaxland, New South Wales
Ms Sharon Claydon: Member for Newcastle, New South Wales
Hon David Coleman: Member for Banks, New South Wales
Hon Julie Collins: Member for Franklin, Tasmania
Mr Pat Conroy: Member for Shortland, New South Wales
Hon Mark Coulton: Member for Parkes, New South Wales
Mr Chris Crewther: Member for Dunkley, Victoria
Mr Milton Dick: Member for Oxley, Queensland
Hon Mark Dreyfus QC: Member for Isaacs, Victoria
Hon Damian Drum: Member for Murray, Victoria
Hon Peter Dutton: Member for Dickson, Queensland
Hon Justine Elliot: Member for Richmond, New South Wales
Hon Warren Entsch: Member for Leichhardt, Queensland
Hon Trevor Evans: Member for Brisbane, Queensland
Mr Jason Falinski: Member for Mackellar, New South Wales
Hon Joel Fitzgibbon: Member for Hunter, New South Wales
Hon Paul Fletcher: Member for Bradfield, New South Wales
Ms Nicolle Flint: Member for Boothby, South Australia
Dr Mike Freelander: Member for Macarthur, New South Wales
Hon Josh Frydenberg: Member for Kooyong, Victoria
Hon Andrew Gee: Member for Calare, New South Wales
Mr Steve Georganas: Member for Hindmarsh, South Australia
Mr Andrew Giles: Member for Scullin, Victoria
Hon Dr David Gillespie: Member for Lyne, New South Wales
Mr Ian Goodenough: Member for Moore, Western Australia
Mr Patrick Gorman: Member for Perth, Western Australia
Mr Luke Gosling OAM: Member for Solomon, Northern Territory
Ms Celia Hammond: Member for Curtin, Western Australia
Mr Ross Hart: Member for Bass, Tasmania
Mr Andrew Hastie: Member for Canning, Western Australia
Hon Alex Hawke: Member for Mitchell, New South Wales
Mr Chris Hayes: Member for Fowler, New South Wales
Hon Sarah Henderson: Member for Corangamite, Victoria
Mr Julian Hill: Member for Bruce, Victoria
Mr Kevin Hogan: Member for Page, New South Wales
Hon Luke Howarth: Member for Petrie, Queensland
Hon Greg Hunt: Member for Flinders, Victoria
Hon Ed Husic: Member for Chifley, New South Wales
Hon Steve Irons: Member for Swan, Western Australia
Mr Stephen Jones: Member for Whitlam, New South Wales
Hon Barnaby Joyce: Member for New England, New South Wales
Hon Bob Katter: Member for Kennedy, Queensland
Ms Ged Kearney: Member for Batman, Victoria
Mr Craig Kelly: Member for Hughes, New South Wales
Hon Dr Mike Kelly AM: Member for Eden-Monaro, New South Wales
Mr Matt Keogh: Member for Burt, Western Australia
